Loading|Carregando...
HOME|INÍCIO
SOUND|EFEITOS SONOROS
MUSIC|MÚSICA
REMOVE_ADS|REMOVER PROPAGANDAS
FREE|LIVRE
Claim_normal|COBRAR
Claim_daily|PRÊMIO
Get_for_free|PEGUE DE GRAÇA
user_guide_1|Toque no objeto <color=#FF0000>vermelho</color> para remover
user_guide_2|Jogue a capivara na água antes que ela^<color=#FF0000> passe mal!</color>
useless_hint|Apenas objetos <color=#FF0000>vermelhos</color> pode ser clicados
NEXT|PRÓXIMO
FREE_PRIZE|PRÊMIO^GRATUITO
MISSON_FAILED|VOCÊ FALHOU
time|Tempo:{0}s
LEVEL_dialog_title|Nível {0}
gravity_guide|Coisas com esse estilo tem gravidade
